Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
digit_body,0.00443338071044421,-4.96453153071514E-09,-0.0140914049333968,0,0,0,0.0077837104153161,7.77176839696665E-07,2.21347841672606E-13,-5.52554519832782E-09,1.05613167218354E-06,8.96409493626059E-14,1.5788930001559E-06,0,0,0,0,0,0,package://digit_asmb_hollow/meshes/digit_body.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://digit_asmb_hollow/meshes/digit_body.STL,,EnclosureAssy_IM_Final.STEP-1/BackREDO_copy.STEP-1;EnclosureAssy_IM_Final.STEP-1/CenterREDO_copy.STEP-1;EnclosureAssy_IM_Final.STEP-1/acrylicwindowREDO_rev2_copy.STEP-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
digit_core,8.80662262390675E-05,0.0057733376322969,-0.00668915938459673,0,0,0,1.15850364457513E-05,6.58318988294795E-10,1.53419017022263E-13,-6.74188292442429E-13,4.01828099810043E-10,-4.42224232143225E-12,1.03111516097338E-09,0,0,0,0,0,0,package://digit_asmb_hollow/meshes/digit_core.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://digit_asmb_hollow/meshes/digit_core.STL,,Digit Gel-1,Origin_digit_body_core_link,Axis_digit_body_core_link,digit_body_core_link,fixed,-0.00151521951809463,-1.36251105150219E-05,-0.00415,-3.14159265358979,0,1.5707963267949,digit_body,0,0,0,,,,,,,,,,,,
